yearweek,campaign_id,campaign_name,currency,impressions,ctr,cpc,cpm,cost,media,clicks,cost_convertion,store_group_id,tabla_medio,name_storeGroup,campaign,ISOweek,sales
202223,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,6809,0.0126,0.57,7.17,48.85,Facebook,86,3.26,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202225,72
202222,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,8175,0.011,0.66,7.22,59.0,Facebook,90,3.28,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202224,87
202221,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,9860,0.0091,0.77,7.05,69.55,Facebook,90,2.4,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202223,83
202220,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,10029,0.0077,0.92,7.06,70.81,Facebook,77,7.87,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202222,72
202219,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,13750,0.0088,0.75,6.62,91.0,Facebook,121,1.82,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202221,99
202217,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,10969,0.0094,0.89,8.32,91.23,Facebook,103,2.28,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202219,47
202216,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,11358,0.0085,0.95,8.02,91.04,Facebook,96,6.07,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202218,79
202215,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,12594,0.0063,1.15,7.21,90.78,Facebook,79,3.95,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202217,119
202214,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,13868,0.0086,0.77,6.58,91.2,Facebook,119,2.53,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202216,87
202213,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,12935,0.0085,0.83,7.06,91.29,Facebook,110,2.54,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202215,83
202212,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,11791,0.0096,0.81,7.72,91.02,Facebook,113,2.53,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202214,96
202211,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,12723,0.0101,0.71,7.16,91.1,Facebook,128,3.8,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202213,74
202210,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,15681,0.0079,0.73,5.81,91.1,Facebook,124,2.76,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202212,107
202209,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,16144,0.008,0.71,5.64,91.11,Facebook,129,4.14,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202211,105
